A,B,mu,alpha,u0,cv,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,SPS,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BertzCT,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA7,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA8,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState9,NumAliphaticHeterocycles,NumRotatableBonds,fr_Al_OH,fr_Ar_NH,fr_NH1,fr_aldehyde,fr_allylic_oxid,fr_amide,fr_aryl_methyl,fr_bicyclic,fr_epoxide,fr_ketone,fr_methoxy,fr_piperdine
5.99438,2.27301,4.5933,55.81,-323.338627,21.459,8.311944444444444,0.2638888888888888,-0.2638888888888888,53.85714285714285,1.8571428571428568,16.538636791326436,5.243765646057851,-0.0260065293717039,2.1246686713458747,144.64936902756273,4.736862953800049,0.0,5.601050810983688,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,6.4208216229260096,5.917906046161393,12.676103277305192,5.261891554738487,0.0,5.917906046161393,6.606881964512918,0.0,0.0,0.0,0.0,12.207932775496603,4.736862953800049,17.249018913692154,0.0,0.0,5.601050810983688,5.917906046161393,13.027703587438928,0.0,0.0,0.0,6.069221312792274,9.998754508538536,4.980324074074074,8.311944444444444,-0.2638888888888888,0.6087962962962961,2.1296296296296298,0.9895833333333334,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2.32923,0.75737,3.4068,77.34,-458.914682,35.183,9.588025793650791,0.1397222222222223,-0.8470370370370375,11.333333333333334,1.8888888888888888,16.474634860368024,5.721332399386892,-0.1029799972575078,1.8457237685811985,130.97373660251156,9.843390348640757,6.103966387748303,6.286160523129555,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,5.920434318855644,5.920434318855644,7.109797541277533,6.606881964512918,0.0,0.0,0.0,13.716679505790452,0.0,0.0,0.0,0.0,31.213333811509013,9.53140013787187,11.840868637711289,0.0,4.794537184071822,6.606881964512918,6.286160523129555,0.0,7.109797541277533,0.0,0.0,16.577731591511338,5.106527394840706,4.532228835978836,8.722777777777779,0.0,4.317962962962962,0.0,-0.4175925925925929,1.450208333333333,0,2,1,0,0,1,0,0,0,0,0,0,1,0
2.7195,1.23126,1.292,76.75,-438.996978,32.71,8.32880857898715,0.3712037037037036,0.3712037037037036,50.333333333333336,1.7777777777777777,16.484887412779337,5.969198219874931,0.1701149025499969,2.376380385728842,166.44079551951015,9.94411597857734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15571272675054,6.4208216229260096,18.94560963360032,11.815651390519005,0.0,0.0,16.991524819073327,7.109797541277533,0.0,0.0,0.0,0.0,24.13270195657383,4.736862953800049,11.835812092322788,0.0,0.0,0.0,17.93977848007109,12.132506625696712,0.0,7.109797541277533,0.0,5.15571272675054,9.94411597857734,5.088287037037037,11.480104875283446,0.9230092592592596,1.1536111111111107,0.0,1.315324074074074,1.7063303099017384,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2.29944,0.85305,3.1488,79.5,-422.988608,36.895,9.846767290249431,0.0430092592592596,-0.0430092592592596,12.0,1.8888888888888888,16.484550448260297,5.494129905708503,-0.1094373589560818,1.8457237685811985,112.5747834225062,9.53140013787187,12.893042487642472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,5.920434318855644,6.923737199690624,6.4208216229260096,6.103966387748303,0.0,0.0,0.0,6.606881964512918,0.0,0.0,0.0,0.0,18.997008875390776,9.53140013787187,12.343784214475903,0.0,4.794537184071822,12.71084835226122,6.4208216229260096,6.286160523129555,0.0,0.0,6.923737199690624,5.920434318855644,11.160212849420308,4.964166666666667,0.0,0.0,2.318857709750567,0.0,6.105578703703704,0.0,0,4,0,0,0,1,0,0,0,0,0,0,0,0
3.03493,1.26316,1.9135,77.81,-435.272093,32.448,7.125972222222222,0.0752314814814818,0.0752314814814818,17.0,1.7777777777777777,16.488611672334013,5.9835311686781685,0.3124554014473628,1.8439548485888728,154.28209708830374,4.736862953800049,5.835619785757269,0.0,0.0,6.021680127344178,0.0,15.718476942433522,0.0,0.0,0.0,0.0,0.0,12.965578028838586,7.109797541277533,10.818567211583044,4.899909730850478,0.0,13.65455394719011,0.0,0.0,0.0,0.0,30.411763591142037,4.736862953800049,10.818567211583044,0.0,0.0,6.021680127344178,5.835619785757269,12.965578028838586,12.009707272128011,0.0,0.0,4.736862953800049,10.818567211583044,4.5929166666666665,14.213888888888889,0.0,0.4739351851851854,0.0752314814814818,0.7695833333333333,1.4384259259259258,1,0,0,0,2,0,0,0,0,0,0,0,1,0
4.74131,0.88921,2.1424,74.74,-363.798603,31.974,8.255972222222223,0.0304861111111112,-0.0304861111111112,33.25,1.875,16.2493213835951,5.246176420460848,0.350142935771336,2.44691047087085,138.3428625411059,5.106527394840706,6.606881964512918,0.0,0.0,0.0,0.0,5.316788604006331,0.0,0.0,0.0,11.840868637711289,6.923737199690624,6.544756405912575,5.538925252383345,0.0,5.316788604006331,0.0,13.151638370425491,0.0,5.316788604006331,0.0,0.0,23.797091017649542,0.0,11.840868637711289,0.0,0.0,12.145807216896262,0.0,6.544756405912575,0.0,0.0,6.923737199690624,17.15765724171762,5.106527394840706,0.0,11.316805555555556,0.0304861111111112,5.465277777777778,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
3.96864,0.95399,3.8267,79.57,-420.448349,34.304,10.55092970521542,0.1108333333333335,0.1108333333333335,27.666666666666668,1.7777777777777777,16.15021265404574,5.783101929748764,-0.1211725061179132,1.9003726279897948,103.62548782626678,10.633577208012662,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,12.586597235060536,6.544756405912575,0.0,10.633577208012662,0.0,13.08951281182515,0.0,10.633577208012662,0.0,0.0,25.03853337032462,4.794537184071822,0.0,0.0,4.794537184071822,5.907179729351506,12.586597235060536,12.965578028838586,0.0,0.0,0.0,17.557314407703284,0.0,0.0,5.888055555555555,0.0,0.1108333333333335,0.4886111111111109,1.083611111111111,0.0,1,1,0,0,2,0,0,1,0,0,0,0,0,0
2.67232,1.04022,4.2814,86.63,-384.473357,40.309,8.462407407407408,0.0324074074074072,0.0324074074074072,13.88888888888889,1.3333333333333333,15.139044131985475,4.868563923937597,0.2456972033743997,1.843449564749413,112.5747834225062,0.0,0.0,0.0,0.0,0.0,0.0,4.899909730850478,0.0,5.261891554738487,0.0,0.0,27.818883581749063,6.041840829147961,12.111062141940234,5.261891554738487,4.899909730850478,0.0,7.04767198267719,0.0,0.0,0.0,0.0,24.03126337182359,0.0,11.33111286753076,0.0,0.0,6.041840829147961,6.041840829147961,0.0,0.0,0.0,18.871318913218293,19.91669571217352,5.261891554738487,0.0,8.462407407407408,0.0,0.0,2.662361111111111,0.0,1.956898148148148,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2.93213,1.59934,3.9822,67.58,-458.980805,30.273,10.64914351851852,0.2129629629629632,-0.8501157407407405,54.66666666666666,1.8888888888888888,16.575159881343126,5.7961838365738245,-0.1379983800098806,2.199454526159168,173.1417863019849,9.843390348640757,11.70501719873199,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,5.917906046161393,0.0,0.0,5.917906046161393,0.0,0.0,0.0,0.0,0.0,22.780849881524546,9.53140013787187,5.917906046161393,0.0,9.901064578912528,17.991177721861547,6.4208216229260096,0.0,0.0,6.923737199690624,0.0,0.0,4.736862953800049,4.761574074074074,9.337314814814814,-0.8501157407407405,-0.4652777777777777,0.0,0.5011574074074072,0.0,2,0,1,0,0,0,0,0,0,1,0,0,0,0
3.41985,1.75769,1.8163,66.73,-384.900922,29.729,9.09287037037037,0.1342592592592595,-0.1342592592592595,59.25,1.5,16.62098546903024,5.092789762050503,0.0571177955156947,2.4397945961488685,113.09616281328596,9.843390348640757,6.103966387748303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.4208216229260096,5.917906046161393,12.207932775496603,0.0,0.0,5.917906046161393,0.0,0.0,0.0,0.0,0.0,23.418426558085613,4.736862953800049,5.917906046161393,0.0,0.0,12.207932775496603,12.021872433909696,6.4208216229260096,0.0,0.0,0.0,6.923737199690624,9.843390348640757,5.093564814814815,9.09287037037037,0.0,0.458333333333333,0.0,1.5994907407407402,0.0,1,1,1,0,0,0,0,0,0,1,1,0,0,0
